Feature,Mutual Information Score
block_341,0.005784305730377248
block_121C,0.005782409832177704
block_980A,0.005780156839140238
street_name_HAVELOCK RD,0.005772518937335214
block_289E,0.005767827479453258
block_446A,0.00576512348936431
block_165A,0.00576171229341349
block_392,0.005761022382968939
block_226A,0.0057609560431008955
street_name_PASIR RIS ST 13,0.005759299148843766
block_571A,0.005759197024775675
block_186B,0.005758733481083356
block_783,0.005748425275523328
block_566,0.005727026176062688
block_351B,0.005725908306824401
block_469B,0.005719805118356902
block_289G,0.005717659517813445
block_123,0.005709103119698744
street_name_SHUNFU RD,0.005708496549723607
block_133,0.0056720355162751535
block_403C,0.005656063037066783
block_608,0.005648624169860783
block_436A,0.005630040541644066
block_66,0.00562516433773963
block_498M,0.005621758363027585
block_786B,0.005618894936463725
block_340B,0.00561850698236066
block_256A,0.005614606792946342
block_577,0.005611989987025279
block_661C,0.005603680345235285
block_205A,0.005598811582449459
block_63B,0.005597995646984932
block_28,0.0055937205498548526
flat_model_Type S1,0.005587520892327058
block_973,0.005585398635137295
block_211,0.005583366913285648
street_name_STRATHMORE AVE,0.005574952450078996
street_name_CANTONMENT CL,0.005562975052187946
street_name_KING GEORGE'S AVE,0.0055587771709468825
street_name_SENGKANG WEST WAY,0.005552856143008933
street_name_SELEGIE RD,0.00554288332386621
block_547D,0.005527291732178474
block_424C,0.005525292124501258
block_604B,0.005523312759508459
block_117A,0.005515486192177788
street_name_TAMPINES ST 86,0.005503121681267098
street_name_BT BATOK ST 24,0.005474908491805985
block_168,0.005447198126480091
block_279,0.0054401988784518185
block_473B,0.005438263542982602
block_161,0.005435345561713545
block_78,0.005430642595770863
block_121B,0.005425983993681216
block_274A,0.005418786030071843
block_675A,0.005411889445220863
block_537,0.005405450958364977
block_641C,0.0053967500819895875
block_504B,0.005396167663720641
block_153,0.0053924341186761815
block_855,0.005388890316215145
street_name_MARSILING LANE,0.0053878459205038975
street_name_MARSILING CRES,0.0053810982903808036
block_758,0.005374294692823911
block_264D,0.005368959527989325
block_138D,0.005367816277229931
block_221B,0.005361027689360975
block_984D,0.005354025039698396
block_84,0.005347809914665991
block_138A,0.005345226840908213
block_407A,0.005343334635014019
block_805A,0.0053384896605681575
block_469A,0.0053373859531169465
street_name_TANGLIN HALT RD,0.005335395380497987
street_name_TAMPINES ST 91,0.005307563123436498
block_91,0.005294367091533747
block_697B,0.00528316026969522
street_name_JOO SENG RD,0.00527695929146299
block_552,0.005275182423802205
block_117,0.005273878758154105
street_name_BT BATOK EAST AVE 4,0.005270677647718713
block_408A,0.005248448726449917
block_476A,0.005246231076699193
block_293B,0.005238013751297288
block_683C,0.00523757064211372
block_862A,0.005231355138874294
block_211A,0.00523000622491443
block_217C,0.005221793429502686
block_658C,0.0052160920652397635
block_417,0.005213325292623638
block_618C,0.005207520137318733
block_174B,0.005189244013098948
block_508,0.005185578095895371
block_805,0.0051804232737910905
block_687C,0.005177950112265295
block_787D,0.005172914994018951
block_186D,0.0051656583883417095
block_604C,0.005165385531619826
block_288C,0.0051626283792765015
block_441C,0.005153428923089232
street_name_TAMPINES ST 23,0.005151536756157649
block_690A,0.0051285603094732846
block_60,0.005121321302075987
block_717,0.005113599032088523
block_801C,0.005111013559331079
block_65,0.005110718964015382
block_798,0.005090360439703012
block_505C,0.005082445234772415
block_40,0.005074580747522539
block_327,0.005061663424495988
block_942,0.005057993162537855
street_name_WOODLANDS RISE,0.005056597133254126
street_name_ANG MO KIO ST 32,0.005055688195274133
block_649B,0.005045373683233656
block_816,0.005044729113858448
block_331C,0.005042419138304055
